type,entry_time,exit_time,entry_price,exit_price,pnl_pips,pnl_usd,exit_reason
long,2025-12-10 06:00:00+00:00,2025-12-10 13:00:00+00:00,208.5790057373047,208.5260009765625,-7.3,-7.3,Signal (ST Flip / EMA Cross)
long,2025-12-10 14:15:00+00:00,2025-12-10 15:00:00+00:00,208.7510028076172,208.44470977783203,-30.6,-30.63,Stop Loss
short,2025-12-10 23:30:00+00:00,2025-12-11 05:45:00+00:00,208.35399291992186,208.52099609375,-18.7,-18.7,Signal (ST Flip / EMA Cross)
short,2025-12-11 09:30:00+00:00,2025-12-11 10:30:00+00:00,208.21500061035155,208.54400634765625,-34.9,-34.9,Signal (ST Flip / EMA Cross)
short,2025-12-11 12:30:00+00:00,2025-12-11 17:30:00+00:00,208.21800659179686,208.4010009765625,-20.3,-20.3,Signal (ST Flip / EMA Cross)
short,2025-12-11 21:45:00+00:00,2025-12-12 00:15:00+00:00,208.2590069580078,208.48500061035156,-24.6,-24.6,Signal (ST Flip / EMA Cross)
short,2025-12-12 07:30:00+00:00,2025-12-12 09:45:00+00:00,208.23,208.61900329589844,-40.9,-40.9,Signal (ST Flip / EMA Cross)
short,2025-12-12 15:00:00+00:00,2025-12-15 00:00:00+00:00,208.33499572753905,208.38299560546875,-6.8,-6.8,Signal (ST Flip / EMA Cross)
short,2025-12-15 01:00:00+00:00,2025-12-15 12:15:00+00:00,208.16600463867186,207.56900024414062,57.7,57.7,Signal (ST Flip / EMA Cross)
long,2025-12-15 12:30:00+00:00,2025-12-15 15:30:00+00:00,207.65900756835939,207.49200439453125,-18.7,-18.7,Signal (ST Flip / EMA Cross)
long,2025-12-15 15:45:00+00:00,2025-12-15 20:15:00+00:00,207.8449969482422,207.5989990234375,-26.6,-26.6,Signal (ST Flip / EMA Cross)
long,2025-12-16 08:00:00+00:00,2025-12-16 15:15:00+00:00,207.26899291992189,207.45278930664062,18.4,18.38,Stop Loss
short,2025-12-16 15:30:00+00:00,2025-12-16 16:00:00+00:00,207.35600708007811,207.8179931640625,-48.2,-48.2,Signal (ST Flip / EMA Cross)
short,2025-12-16 18:15:00+00:00,2025-12-16 18:45:00+00:00,207.53599975585936,207.73500061035156,-21.9,-21.9,Signal (ST Flip / EMA Cross)
short,2025-12-16 19:00:00+00:00,2025-12-16 20:30:00+00:00,207.56700561523436,207.81399536132812,-26.7,-26.7,Signal (ST Flip / EMA Cross)
short,2025-12-16 22:45:00+00:00,2025-12-16 23:00:00+00:00,207.60600708007811,207.7519989013672,-16.6,-16.6,Signal (ST Flip / EMA Cross)
short,2025-12-17 00:45:00+00:00,2025-12-17 02:45:00+00:00,207.43700073242186,207.8470001220703,-43.0,-43.0,Signal (ST Flip / EMA Cross)
short,2025-12-17 05:45:00+00:00,2025-12-17 06:00:00+00:00,207.61600158691405,207.802001953125,-20.6,-20.6,Signal (ST Flip / EMA Cross)
short,2025-12-17 07:15:00+00:00,2025-12-17 13:00:00+00:00,207.39400146484374,207.616796875,-22.3,-22.28,Stop Loss
long,2025-12-17 13:00:00+00:00,2025-12-17 23:30:00+00:00,207.59099914550782,208.02999877929688,41.9,41.9,Signal (ST Flip / EMA Cross)
short,2025-12-17 23:30:00+00:00,2025-12-18 02:00:00+00:00,208.00999877929686,208.17799377441406,-18.8,-18.8,Signal (ST Flip / EMA Cross)
short,2025-12-18 09:15:00+00:00,2025-12-18 12:00:00+00:00,208.01399658203124,208.35690307617188,-34.3,-34.29,Stop Loss
long,2025-12-18 12:30:00+00:00,2025-12-18 16:15:00+00:00,208.5530047607422,208.1840057373047,-38.9,-38.9,Signal (ST Flip / EMA Cross)
short,2025-12-22 02:00:00+00:00,2025-12-22 03:00:00+00:00,210.64200256347655,210.8939971923828,-27.2,-27.2,Signal (ST Flip / EMA Cross)
short,2025-12-22 03:45:00+00:00,2025-12-22 07:00:00+00:00,210.68799255371093,210.87600708007812,-20.8,-20.8,Signal (ST Flip / EMA Cross)
short,2025-12-22 14:15:00+00:00,2025-12-22 17:45:00+00:00,211.03799865722655,211.2760009765625,-25.8,-25.8,Signal (ST Flip / EMA Cross)
short,2025-12-22 23:30:00+00:00,2025-12-23 12:15:00+00:00,211.12799499511718,210.62600708007812,48.2,48.2,Signal (ST Flip / EMA Cross)
short,2025-12-23 12:30:00+00:00,2025-12-23 13:15:00+00:00,210.51300476074218,210.6959991455078,-20.3,-20.3,Signal (ST Flip / EMA Cross)
long,2025-12-23 19:45:00+00:00,2025-12-24 00:45:00+00:00,210.77599670410157,210.7259979248047,-7.0,-7.0,Signal (ST Flip / EMA Cross)
short,2025-12-24 01:15:00+00:00,2025-12-24 09:45:00+00:00,210.61499450683593,210.6320037841797,-3.7,-3.7,Signal (ST Flip / EMA Cross)
short,2025-12-24 14:15:00+00:00,2025-12-24 22:00:00+00:00,210.49699829101561,210.63499450683594,-15.8,-15.8,Signal (ST Flip / EMA Cross)
short,2025-12-25 05:30:00+00:00,2025-12-25 05:45:00+00:00,210.47699401855468,210.56900024414062,-11.2,-11.2,Signal (ST Flip / EMA Cross)
short,2025-12-25 20:15:00+00:00,2025-12-25 22:00:00+00:00,210.59599731445311,210.86759185791016,-27.2,-27.16,Stop Loss
long,2025-12-26 00:00:00+00:00,2025-12-26 03:45:00+00:00,211.0169940185547,210.7480010986328,-28.9,-28.9,Signal (ST Flip / EMA Cross)
short,2025-12-26 04:15:00+00:00,2025-12-26 08:45:00+00:00,210.84300659179686,210.96499633789062,-14.2,-14.2,Signal (ST Flip / EMA Cross)
short,2025-12-29 00:00:00+00:00,2025-12-29 02:45:00+00:00,210.7979931640625,211.27999877929688,-50.2,-50.2,Signal (ST Flip / EMA Cross)
short,2025-12-29 04:15:00+00:00,2025-12-29 10:00:00+00:00,211.00499389648436,210.9770050048828,0.8,0.8,Signal (ST Flip / EMA Cross)
long,2025-12-29 10:30:00+00:00,2025-12-29 12:15:00+00:00,211.0250048828125,210.62100219726562,-42.4,-42.4,Signal (ST Flip / EMA Cross)
short,2025-12-29 22:45:00+00:00,2025-12-29 23:15:00+00:00,210.63499877929686,210.88299560546875,-26.8,-26.8,Signal (ST Flip / EMA Cross)
short,2025-12-30 22:00:00+00:00,2025-12-31 02:45:00+00:00,210.46300170898436,210.6479949951172,-20.5,-20.5,Signal (ST Flip / EMA Cross)
short,2025-12-31 08:15:00+00:00,2025-12-31 11:30:00+00:00,210.52200744628905,210.73540344238282,-21.3,-21.34,Stop Loss
long,2025-12-31 11:30:00+00:00,2025-12-31 15:00:00+00:00,210.79099609375,210.57730712890623,-21.4,-21.37,Stop Loss
short,2026-01-02 07:45:00+00:00,2026-01-02 08:00:00+00:00,211.1729931640625,211.36900329589844,-21.6,-21.6,Signal (ST Flip / EMA Cross)
short,2026-01-02 08:15:00+00:00,2026-01-02 14:15:00+00:00,211.198994140625,211.16600036621094,1.3,1.3,Signal (ST Flip / EMA Cross)
long,2026-01-05 00:00:00+00:00,2026-01-05 02:00:00+00:00,211.22799255371095,210.968994140625,-27.9,-27.9,Signal (ST Flip / EMA Cross)
long,2026-01-05 14:00:00+00:00,2026-01-06 07:30:00+00:00,211.00300170898439,211.802001953125,77.9,77.9,Signal (ST Flip / EMA Cross)
short,2026-01-06 19:15:00+00:00,2026-01-07 00:00:00+00:00,211.41099975585936,211.61399841308594,-22.3,-22.3,Signal (ST Flip / EMA Cross)
short,2026-01-07 12:00:00+00:00,2026-01-08 01:30:00+00:00,211.18500183105468,211.13900756835938,2.6,2.6,Signal (ST Flip / EMA Cross)
long,2026-01-08 01:30:00+00:00,2026-01-08 03:30:00+00:00,211.15900756835939,210.98699951171875,-19.2,-19.2,Signal (ST Flip / EMA Cross)
short,2026-01-08 12:30:00+00:00,2026-01-08 14:30:00+00:00,210.5979962158203,210.87090454101565,-27.3,-27.29,Stop Loss
long,2026-01-08 14:30:00+00:00,2026-01-08 17:15:00+00:00,210.89899780273439,210.60800170898438,-31.1,-31.1,Signal (ST Flip / EMA Cross)
long,2026-01-08 20:00:00+00:00,2026-01-08 22:00:00+00:00,210.88700439453126,210.61080169677734,-27.6,-27.62,Stop Loss
short,2026-01-08 22:30:00+00:00,2026-01-08 23:00:00+00:00,210.6810040283203,210.83799743652344,-17.7,-17.7,Signal (ST Flip / EMA Cross)
long,2026-01-12 00:30:00+00:00,2026-01-12 22:00:00+00:00,211.74000122070314,212.75509643554688,101.5,101.51,Stop Loss
short,2026-01-12 23:30:00+00:00,2026-01-13 00:30:00+00:00,212.76399658203124,212.9810028076172,-23.7,-23.7,Signal (ST Flip / EMA Cross)
short,2026-01-13 13:00:00+00:00,2026-01-13 14:00:00+00:00,213.78299377441405,214.07899475097656,-31.6,-31.6,Signal (ST Flip / EMA Cross)
