type,entry_time,exit_time,entry_price,exit_price,pnl_pips,pnl_usd,exit_reason
long,2025-12-15 09:20:00+00:00,2025-12-15 11:50:00+00:00,207.44300415039064,207.32699890136718,-11.6,-11.6,Stop Loss
short,2025-12-15 11:50:00+00:00,2025-12-15 12:10:00+00:00,207.32500122070311,207.5330047607422,-22.8,-22.8,Signal (ST Flip / EMA Cross)
long,2025-12-15 12:20:00+00:00,2025-12-15 14:40:00+00:00,207.5479998779297,207.49099731445312,-7.7,-7.7,Signal (ST Flip / EMA Cross)
long,2025-12-15 15:55:00+00:00,2025-12-15 17:50:00+00:00,207.8449969482422,207.58900451660156,-27.6,-27.6,Signal (ST Flip / EMA Cross)
long,2025-12-16 13:30:00+00:00,2025-12-16 13:35:00+00:00,207.89899780273439,207.74400329589844,-17.5,-17.5,Signal (ST Flip / EMA Cross)
long,2025-12-16 14:15:00+00:00,2025-12-16 15:00:00+00:00,207.99500610351564,207.63900756835938,-37.6,-37.6,Signal (ST Flip / EMA Cross)
long,2025-12-16 16:10:00+00:00,2025-12-16 17:50:00+00:00,207.8379931640625,207.6580047607422,-20.0,-20.0,Signal (ST Flip / EMA Cross)
long,2025-12-16 20:35:00+00:00,2025-12-16 21:55:00+00:00,207.7960009765625,207.5910873413086,-20.5,-20.49,Stop Loss
short,2025-12-16 21:55:00+00:00,2025-12-16 22:25:00+00:00,207.56599853515624,207.75,-20.4,-20.4,Signal (ST Flip / EMA Cross)
short,2025-12-16 22:30:00+00:00,2025-12-16 22:45:00+00:00,207.65999267578124,207.7010040283203,-6.1,-6.1,Signal (ST Flip / EMA Cross)
short,2025-12-16 22:55:00+00:00,2025-12-16 23:05:00+00:00,207.60600708007811,207.73500061035156,-14.9,-14.9,Signal (ST Flip / EMA Cross)
short,2025-12-17 00:40:00+00:00,2025-12-17 02:10:00+00:00,207.5979962158203,207.68699645996094,-10.9,-10.9,Signal (ST Flip / EMA Cross)
short,2025-12-17 07:05:00+00:00,2025-12-17 11:00:00+00:00,207.39600036621093,207.3179931640625,5.8,5.8,Signal (ST Flip / EMA Cross)
long,2025-12-17 20:15:00+00:00,2025-12-17 21:40:00+00:00,208.30500366210939,208.2169952392578,-10.8,-10.8,Signal (ST Flip / EMA Cross)
short,2025-12-17 21:55:00+00:00,2025-12-18 01:30:00+00:00,208.17900512695311,208.0749969482422,8.4,8.4,Signal (ST Flip / EMA Cross)
long,2025-12-18 04:50:00+00:00,2025-12-18 08:20:00+00:00,208.20600463867189,208.3260040283203,10.0,10.0,Signal (ST Flip / EMA Cross)
long,2025-12-18 12:00:00+00:00,2025-12-18 14:35:00+00:00,208.41100646972657,208.49230346679687,8.1,8.13,Stop Loss
short,2025-12-18 14:40:00+00:00,2025-12-18 18:35:00+00:00,208.3790020751953,208.3260040283203,3.3,3.3,Signal (ST Flip / EMA Cross)
short,2025-12-18 19:25:00+00:00,2025-12-18 23:10:00+00:00,208.21599243164061,208.21400451660156,-1.8,-1.8,Signal (ST Flip / EMA Cross)
