type,entry_time,exit_time,entry_price,exit_price,pnl_pips,pnl_usd,exit_reason
long,2026-02-09 02:40:00+00:00,2026-02-09 04:15:00+00:00,213.41300537109376,213.22799682617188,-20.5,-20.5,Signal (ST Flip / EMA Cross)
long,2026-02-09 08:15:00+00:00,2026-02-09 09:20:00+00:00,213.18299438476564,212.85699462890625,-34.6,-34.6,Signal (ST Flip / EMA Cross)
long,2026-02-09 09:55:00+00:00,2026-02-09 13:10:00+00:00,213.05700256347657,213.25399475097655,19.7,19.7,Stop Loss
short,2026-02-09 13:20:00+00:00,2026-02-09 15:10:00+00:00,213.1550030517578,212.87579040527345,27.9,27.92,Stop Loss
long,2026-02-09 15:30:00+00:00,2026-02-09 19:45:00+00:00,212.86100341796876,213.20700073242188,32.6,32.6,Signal (ST Flip / EMA Cross)
long,2026-02-09 20:10:00+00:00,2026-02-09 22:00:00+00:00,213.34400512695314,213.32510986328123,-1.9,-1.89,Stop Loss
short,2026-02-09 22:10:00+00:00,2026-02-09 23:00:00+00:00,213.26500366210936,213.54400634765625,-29.9,-29.9,Signal (ST Flip / EMA Cross)
long,2026-02-09 23:00:00+00:00,2026-02-10 00:55:00+00:00,213.56400634765626,213.40580291748046,-15.8,-15.82,Stop Loss
short,2026-02-10 01:00:00+00:00,2026-02-10 06:00:00+00:00,213.28299377441405,212.48199462890625,78.1,78.1,Signal (ST Flip / EMA Cross)
long,2026-02-10 07:10:00+00:00,2026-02-10 09:20:00+00:00,212.50599243164064,212.43690032958983,-6.9,-6.91,Stop Loss
short,2026-02-10 09:20:00+00:00,2026-02-10 12:10:00+00:00,212.3999981689453,212.27060852050784,12.9,12.94,Stop Loss
long,2026-02-10 12:10:00+00:00,2026-02-10 13:20:00+00:00,212.32499267578126,212.0045928955078,-32.0,-32.04,Stop Loss
short,2026-02-10 19:45:00+00:00,2026-02-10 22:05:00+00:00,210.7350048828125,210.74229736328127,-0.7,-0.73,Stop Loss
short,2026-02-11 00:00:00+00:00,2026-02-11 07:15:00+00:00,210.4989971923828,209.3939971923828,108.5,108.5,Signal (ST Flip / EMA Cross)
long,2026-02-11 07:25:00+00:00,2026-02-11 09:45:00+00:00,209.45699645996095,209.70199584960938,22.5,22.5,Signal (ST Flip / EMA Cross)
short,2026-02-11 13:35:00+00:00,2026-02-11 20:00:00+00:00,208.78099487304686,208.60379638671876,17.7,17.72,Stop Loss
long,2026-02-11 20:15:00+00:00,2026-02-11 22:00:00+00:00,208.65900756835939,208.6078903198242,-5.1,-5.11,Stop Loss
short,2026-02-11 22:25:00+00:00,2026-02-11 23:45:00+00:00,208.59599731445311,208.80599975585938,-23.0,-23.0,Signal (ST Flip / EMA Cross)
short,2026-02-12 01:05:00+00:00,2026-02-12 04:45:00+00:00,208.4469952392578,208.0659942626953,36.1,36.1,Signal (ST Flip / EMA Cross)
long,2026-02-12 04:50:00+00:00,2026-02-12 08:10:00+00:00,208.197001953125,208.48199462890625,26.5,26.5,Signal (ST Flip / EMA Cross)
long,2026-02-12 08:30:00+00:00,2026-02-12 08:45:00+00:00,208.6159930419922,208.44500732421875,-19.1,-19.1,Signal (ST Flip / EMA Cross)
long,2026-02-12 09:10:00+00:00,2026-02-12 13:45:00+00:00,208.63099243164064,209.1699981689453,51.9,51.9,Signal (ST Flip / EMA Cross)
short,2026-02-12 14:05:00+00:00,2026-02-12 16:40:00+00:00,209.11299560546874,208.2902053833008,82.3,82.28,Stop Loss
long,2026-02-12 19:00:00+00:00,2026-02-12 20:40:00+00:00,208.20699645996095,208.1540069580078,-7.3,-7.3,Signal (ST Flip / EMA Cross)
short,2026-02-12 23:40:00+00:00,2026-02-13 00:00:00+00:00,207.9539990234375,208.23069610595704,-27.7,-27.67,Stop Loss
long,2026-02-13 04:50:00+00:00,2026-02-13 06:15:00+00:00,208.53100158691407,208.31300354003906,-23.8,-23.8,Signal (ST Flip / EMA Cross)
