type,entry_time,exit_time,entry_price,exit_price,pnl_pips,pnl_usd,exit_reason
short,2024-03-05 13:00:00+00:00,2024-03-05 15:00:00+00:00,190.45999572753905,190.9600067138672,-52.0,-52.0,Signal (ST Flip / EMA Cross)
short,2024-03-05 18:00:00+00:00,2024-03-07 15:00:00+00:00,190.52600524902343,189.46719818115236,105.9,105.88,Stop Loss
long,2024-03-07 21:00:00+00:00,2024-03-08 00:00:00+00:00,189.61300231933595,189.32699584960938,-30.6,-30.6,Signal (ST Flip / EMA Cross)
long,2024-03-08 01:00:00+00:00,2024-03-08 04:00:00+00:00,189.55900146484376,189.35400390625,-22.5,-22.5,Signal (ST Flip / EMA Cross)
long,2024-03-08 08:00:00+00:00,2024-03-08 09:00:00+00:00,189.5169940185547,188.70410003662107,-81.3,-81.29,Stop Loss
short,2024-03-08 09:00:00+00:00,2024-03-12 02:00:00+00:00,188.70799682617186,188.83660278320315,-12.9,-12.86,Stop Loss
long,2024-03-12 03:00:00+00:00,2024-03-12 08:00:00+00:00,188.9520068359375,188.2648986816406,-68.7,-68.71,Stop Loss
long,2024-03-13 05:00:00+00:00,2024-03-14 13:00:00+00:00,188.80399658203126,188.84650268554685,4.3,4.25,Stop Loss
short,2024-03-14 15:00:00+00:00,2024-03-15 08:00:00+00:00,188.8739971923828,189.40870208740236,-53.5,-53.47,Stop Loss
long,2024-03-15 08:00:00+00:00,2024-03-21 01:00:00+00:00,189.44799377441407,192.4943908691406,304.6,304.64,Stop Loss
short,2024-03-21 14:00:00+00:00,2024-03-25 11:00:00+00:00,192.42200134277343,191.2319061279297,119.0,119.01,Stop Loss
long,2024-03-25 13:00:00+00:00,2024-03-26 22:00:00+00:00,191.2960009765625,191.2220001220703,-9.4,-9.4,Signal (ST Flip / EMA Cross)
long,2024-03-27 07:00:00+00:00,2024-03-27 09:00:00+00:00,191.49000122070314,191.00229339599608,-48.8,-48.77,Stop Loss
short,2024-03-27 09:00:00+00:00,2024-03-28 16:00:00+00:00,190.96500061035155,191.13600158691406,-19.1,-19.1,Signal (ST Flip / EMA Cross)
short,2024-03-28 19:00:00+00:00,2024-03-28 22:00:00+00:00,190.9780010986328,191.08700561523438,-12.9,-12.9,Signal (ST Flip / EMA Cross)
short,2024-03-29 02:00:00+00:00,2024-03-29 14:00:00+00:00,190.87500427246093,191.10899353027344,-25.4,-25.4,Signal (ST Flip / EMA Cross)
short,2024-03-29 17:00:00+00:00,2024-03-29 22:00:00+00:00,190.90399597167968,191.06500244140625,-18.1,-18.1,Signal (ST Flip / EMA Cross)
short,2024-04-01 10:00:00+00:00,2024-04-02 19:00:00+00:00,190.87100646972655,190.6219940185547,22.9,22.9,Signal (ST Flip / EMA Cross)
short,2024-04-04 19:00:00+00:00,2024-04-05 15:00:00+00:00,191.1030010986328,191.5265060424805,-42.4,-42.35,Stop Loss
long,2024-04-05 17:00:00+00:00,2024-04-09 16:00:00+00:00,191.5460009765625,192.15699768066406,59.1,59.1,Signal (ST Flip / EMA Cross)
